day,posts,likes,views
2018-11-03,3,61,22131
2018-11-04,2,120,14880
2018-11-05,3,101,17948
2018-11-06,6,120,34271
2018-11-07,6,135,31873
2018-11-08,3,69,17582
2018-11-09,7,179,39771
2018-11-10,3,169,25724
2018-11-11,1,38,6596
2018-11-12,6,153,32696
2018-11-13,5,149,30075
2018-11-14,5,92,25403
2018-11-15,5,79,27691
2018-11-16,4,267,33566
2018-11-17,3,177,35436
2018-11-18,1,32,9753
2018-11-19,6,202,38382
2018-11-20,5,159,37093
2018-11-21,6,160,41861
2018-11-22,4,113,28273
2018-11-23,4,237,38310
2018-11-24,2,95,27070
2018-11-25,1,87,12437
2018-11-26,5,188,40246
2018-11-27,4,146,37554
2018-11-28,6,254,46985
2018-11-29,4,129,32034
2018-11-30,8,435,69928
2018-12-01,2,95,28429
2018-12-02,1,124,14254
2018-12-03,5,257,48212
2018-12-04,5,217,49043
2018-12-05,5,217,47079
2018-12-06,6,195,56432
2018-12-07,4,258,44588
2018-12-08,2,230,43372
2018-12-09,1,59,11593
2018-12-10,4,228,42892
2018-12-11,6,229,54289
2018-12-12,5,242,42225
2018-12-13,5,151,42390
2018-12-14,4,234,37071
2018-12-15,3,280,48690
2018-12-16,2,186,25179
2018-12-17,5,133,37622
2018-12-18,4,132,34129
2018-12-19,8,265,52869
2018-12-20,6,188,43610
2018-12-21,5,242,45726
2018-12-22,2,164,36587
2018-12-23,1,123,11525
2018-12-24,3,156,27061
2018-12-25,7,196,55288
2018-12-26,6,245,51639
2018-12-27,6,265,63298
2018-12-28,2,140,22176
2018-12-29,3,135,35529
2018-12-30,1,96,19306
2018-12-31,3,317,45475
2019-01-01,1,126,25860
2019-01-02,2,128,33860
2019-01-03,1,51,13584
2019-01-04,2,183,35318
2019-01-07,2,338,46101
2019-01-08,1,80,23834
2019-01-09,3,133,27550
2019-01-10,3,115,27627
2019-01-11,4,256,40693
2019-01-12,3,182,39032
2019-01-13,1,61,12675
2019-01-14,3,263,27849
2019-01-15,4,146,31334
2019-01-16,5,187,37535
2019-01-17,5,151,40748
2019-01-18,4,261,36647
2019-01-19,3,203,36586
2019-01-20,1,43,12566
2019-01-21,5,194,39123
2019-01-22,5,120,36355
2019-01-23,3,118,25194
2019-01-24,5,161,38402
2019-01-25,7,1436,56740
2019-01-26,2,99,21404
2019-01-27,1,20,7541
2019-01-28,3,81,21438
2019-01-29,4,95,27695
2019-01-30,4,217,35133
2019-01-31,5,112,36370
2019-02-01,5,162,34485
2019-02-02,4,154,37188
2019-02-03,2,60,21296
2019-02-04,4,169,37965
2019-02-05,3,123,25299
2019-02-06,4,125,29024
2019-02-07,6,146,40407
2019-02-08,5,223,41179
2019-02-09,2,87,20477
2019-02-10,3,592,68822
2019-02-11,5,290,48443
2019-02-12,4,108,26232
2019-02-13,3,244,27150
2019-02-14,7,567,57245
2019-02-15,4,182,29618
2019-02-16,5,120,37747
2019-02-17,2,224,24326
2019-02-18,6,233,49154
2019-02-19,3,102,22410
2019-02-20,3,282,33586
2019-02-21,7,369,66773
2019-02-22,6,165,38079
2019-02-23,4,178,35937
2019-02-24,2,328,35107
2019-02-25,6,215,47781
2019-02-26,4,145,31496
2019-02-27,3,182,32035
2019-02-28,5,209,40027
2019-03-01,5,377,74512
2019-03-02,2,154,47967
2019-03-03,3,598,75656
2019-03-04,5,184,40190
2019-03-05,4,188,36930
2019-03-06,5,167,34958
2019-03-07,5,154,38616
2019-03-08,3,169,27805
2019-03-09,4,249,47701
2019-03-10,2,767,89020
2019-03-11,5,205,40229
2019-03-12,6,385,62018
2019-03-13,4,122,26163
2019-03-14,6,381,60913
2019-03-15,7,321,52377
2019-03-16,3,87,26803
2019-03-17,2,546,58576
2019-03-18,5,204,40651
2019-03-19,5,126,42729
2019-03-20,5,724,107707
2019-03-21,4,233,46104
2019-03-22,6,242,50370
2019-03-23,3,142,40886
2019-03-24,2,651,85299
2019-03-25,4,149,36394
2019-03-26,5,122,42114
2019-03-27,4,419,58620
2019-03-28,6,184,45288
2019-03-29,4,222,34820
2019-03-30,3,162,38718
2019-03-31,2,727,63797
2019-04-01,5,225,43475
2019-04-02,3,150,30422
2019-04-03,3,326,48751
2019-04-04,6,510,72337
2019-04-05,6,286,56989
2019-04-06,2,97,27880
2019-04-07,2,1018,84106
2019-04-08,6,421,69130
2019-04-09,3,183,35633
2019-04-10,4,449,60893
2019-04-11,4,138,34627
2019-04-12,3,319,50383
2019-04-13,2,122,36944
2019-04-14,2,430,44329
2019-04-15,5,216,48384
2019-04-16,4,180,40634
2019-04-17,3,372,53649
2019-04-18,5,266,46015
2019-04-19,5,414,57851
2019-04-20,2,194,36474
2019-04-21,2,571,58831
2019-04-22,2,150,24705
2019-04-23,3,96,28988
2019-04-24,4,123,33970
2019-04-25,5,147,37741
2019-04-26,3,241,37762
2019-04-27,3,134,31188
2019-04-28,2,501,53880
2019-04-29,5,190,41830
2019-04-30,4,88,29624
2019-05-01,1,40,8249
2019-05-02,3,129,36053
2019-05-03,2,65,20484
2019-05-04,1,51,14387
2019-05-05,2,357,57295
2019-05-06,3,283,37461
2019-05-07,2,85,21668
2019-05-08,3,223,35851
2019-05-09,1,137,18131
2019-05-11,1,103,25944
2019-05-12,1,304,31173
2019-05-13,4,195,33598
2019-05-14,2,51,16483
2019-05-15,3,187,31214
2019-05-16,4,129,40696
2019-05-17,3,125,31408
2019-05-18,2,93,23882
2019-05-19,2,544,63922
2019-05-20,3,316,117663
2019-05-21,2,56,17227
2019-05-22,4,148,32624
2019-05-23,4,165,47982
2019-05-24,4,172,40127
2019-05-25,2,76,16911
2019-05-26,2,190,36808
2019-05-27,2,350,41551
2019-05-28,2,35,15478
2019-05-29,4,180,30286
2019-05-30,3,201,42550
2019-05-31,5,345,50762
2019-06-01,2,95,21348
2019-06-02,2,940,145400
2019-06-03,2,98,21419
2019-06-04,2,40,16377
2019-06-05,2,405,47614
2019-06-06,3,122,28493
2019-06-07,4,153,33883
2019-06-08,1,41,11720
2019-06-09,2,284,33279
2019-06-10,6,233,56094
2019-06-11,2,32,16283
2019-06-12,2,255,35245
2019-06-13,3,190,41941
2019-06-14,3,171,30544
2019-06-15,1,89,13084
2019-06-16,1,66,8687
2019-06-17,3,215,29018
2019-06-18,2,44,17958
2019-06-19,2,63,19168
2019-06-20,3,114,28984
2019-06-21,2,86,19844
2019-06-22,1,19,9481
2019-06-23,1,66,13380
2019-06-24,2,165,25982
2019-06-25,3,72,24003
2019-06-26,3,141,28219
2019-06-27,3,181,31785
2019-06-28,2,92,22395
2019-06-30,2,74,17619
2019-07-01,2,39,12506
2019-07-02,3,132,26342
2019-07-03,2,140,18384
2019-07-04,3,218,89683
2019-07-05,3,88,23068
2019-07-06,1,148,15704
2019-07-07,1,81,11479
2019-07-08,3,131,23356
2019-07-09,3,187,30324
2019-07-10,4,140,33276
2019-07-11,3,185,27633
2019-07-12,2,109,18867
2019-07-14,1,54,8033
2019-07-15,3,154,24968
2019-07-16,2,47,14221
2019-07-17,2,90,15807
2019-07-18,3,162,26489
2019-07-19,6,175,47989
2019-07-21,1,114,13484
2019-07-22,3,110,22524
2019-07-23,4,89,30610
2019-07-24,2,102,16790
2019-07-25,3,152,27563
2019-07-26,3,69,26302
2019-07-29,2,182,23198
2019-07-30,2,61,14723
2019-07-31,2,81,16112
2019-08-01,4,160,65518
2019-08-02,3,108,27503
2019-08-03,2,65,17618
2019-08-04,1,102,10355
2019-08-05,2,185,24955
2019-08-06,2,66,16105
2019-08-07,3,128,26011
2019-08-08,3,132,25772
2019-08-09,4,110,61327
2019-08-10,2,104,53314
2019-08-11,2,105,27172
2019-08-12,3,113,34852
2019-08-13,4,123,38944
2019-08-14,3,143,64775
2019-08-15,3,327,36868
2019-08-16,4,102,30035
2019-08-17,3,61,22038
2019-08-18,2,193,33129
2019-08-19,2,158,22442
2019-08-20,2,123,16140
2019-08-21,2,93,30950
2019-08-22,3,149,22381
2019-08-23,3,74,28775
2019-08-24,1,97,8494
2019-08-25,1,136,12443
2019-08-26,3,267,35432
2019-08-27,2,114,18725
2019-08-28,2,57,14898
2019-08-29,2,60,16459
